feature                        ,elsa_description
familial_hfda14e               ,Idade mae teve diagnostico asma (Q14)
familial_hfda14g               ,Irma/o teve diagnostico de asma (Q12)
familial_hfda14h               ,Idade irma/o teve diagnostico asma (Q14)
familial_hfda16a               ,Pai submetido Safena/Angio/Stent (Q16)
familial_hfda16b               ,Idade pai  Safena/Angio/Stent (Q16)
familial_hfda16d               ,Mae submetida Safena/Angio/Stent (Q16)
familial_hfda16e               ,Idade mae  Safena/Angio/Stent (Q16)
familial_hfda16g               ,Irmao submetido Safena/Angio/Stent (Q16)
familial_hfda16h               ,Idade irma/o  Safena/Angio/Stent (Q16)
familial_hfda18a               ,Pai teve diagnostico de cancer (Q18)
familial_hfda18b               ,Idade pai teve diagnostico cancer (Q18)
familial_hfda18f               ,Mae teve diagnostico de cancer (Q18)
familial_hfda18g               ,Idade mae teve diagnostico cancer (Q18)
familial_hfda18k               ,Irma/o 1  teve diagnostico de cancer (Q18)
familial_hfda18l               ,Idade irma/o 1 teve cancer (Q18)
familial_hfda18p               ,Irma/o 2  teve diagnostico de cancer (Q18)
familial_hfda18q               ,Idade irma/o 2 teve cancer (Q18)
familial_hfda18u               ,Irma/o 3  teve diagnostico de cancer (Q18)
familial_hfda18v               ,Idade irma/o 3 teve cancer (Q18)
headache_cefa10                ,Som incomoda dor ultimos 12m (Q10)
headache_cefa11                ,Alimentacao dor cabeca ultimos 12m (Q11)
headache_cefa2                 ,Freq dor de cabeca nos ultimos 12m (Q2)
headache_cefa3                 ,Duracao dor de cabeca ultimos 12m (Q3)
headache_cefa4                 ,Antes problema visao/sensib/forca (Q4)
headache_cefa5                 ,Tipo dor de cabeca ultimos 12 m (Q5)
headache_cefa6                 ,Parte da cabeca tem dor ultimos 12m (Q6)
headache_cefa7                 ,Intensidade dor cabeca ultimos 12m (Q7)
headache_cefa8                 ,Dor cabeca ao exercicio ultimos 12m (Q8)
headache_cefa9                 ,Luz incomoda dor cabeca ultimos 12m (Q9)
home_info_vifa02               ,Quantos anos casado (Q2)
home_info_vifa03               ,Situacao conjugal atual (Q3)
home_info_vifa04               ,Parceiro estavel sem viver junto (Q5)
home_info_vifa05a              ,Idade do conjuge/parceiro (Q4)
home_info_vifa06               ,Cor/raca do conjuge/parceiro (Q6)
home_info_vifa07               ,Grau instrucao do conjuge/parceiro (Q7)
home_info_vifa09               ,Situacao ocupacao conjuge/parceiro (Q9)
home_info_vifa12               ,Quantos filhos (Q12)
home_info_vifa13a              ,Mes nascimento do filho (Q13)
home_info_vifa13b              ,Ano nascimento do filho (Q13)
home_info_vifa14a              ,Mes nascimento filho + velho (Q14)
home_info_vifa14b              ,Ano nascimento filho + velho (Q14)
home_info_vifa15a              ,Mes nascimento filho + novo (Q15)
home_info_vifa15b              ,Ano nascimento filho + novo (Q15)
home_info_vifa17a              ,Parentesco/relacao morador1 (Q17)
home_info_vifa17b              ,Idade morador1 (Q17)
home_info_vifa17d              ,Sexo morador1 (Q17)
home_info_vifa18a              ,Parentesco/relacao morador2 (Q18)
home_info_vifa18b              ,Idade morador2 (Q18)
home_info_vifa18d              ,Sexo morador2 (Q18)
home_info_vifa19a              ,Parentesco/relacao morador3 (Q19)
home_info_vifa19b              ,Idade morador3 (Q19)
home_info_vifa19d              ,Sexo morador3 (Q19)
home_info_vifa20a              ,Parentesco/relacao morador4 (Q20)
home_info_vifa20b              ,Idade morador4 (Q20)
home_info_vifa20d              ,Sexo morador4 (Q20)
home_info_vifa21a              ,Parentesco/relacao morador5 (Q21)
home_info_vifa21b              ,Idade morador5 (Q21)
home_info_vifa21d              ,Sexo morador5 (Q21)
home_info_vifa22a              ,Parentesco/relacao morador6 (Q22)
home_info_vifa22b              ,Idade morador6 (Q22)
home_info_vifa22d              ,Sexo morador6 (Q22)
home_info_vifa23a              ,Parentesco/relacao morador7 (Q23)
home_info_vifa23b              ,Idade morador7 (Q23)
home_info_vifa23d              ,Sexo morador7 (Q23)
home_info_vifa24a              ,Parentesco/relacao morador8 (Q24)
home_info_vifa24b              ,Idade morador8 (Q24)
home_info_vifa24d              ,Sexo morador8 (Q24)
home_info_vifa25a              ,Parentesco/relacao morador9 (Q25)
home_info_vifa25b              ,Idade morador9 (Q25)
home_info_vifa25d              ,Sexo morador9 (Q25)
home_info_vifa26a              ,Parentesco/relacao morador10 (Q26)
home_info_vifa26b              ,Idade morador10 (Q26)
home_info_vifa26d              ,Sexo morador10 (Q26)
job_related_hoca02a            ,Ano comecou trabralhar na instituicao (Q2)
job_related_hoca04a            ,Quantos anos nessas atividades (Q4)
job_related_hoca05             ,Supervisiona alguem (Q5)
job_related_hoca06a            ,Quantas pessoas supervisiona (Q6)
job_related_hoca07             ,Alguem o supervisiona (Q7)
job_related_hoca08             ,Participa de decisoes sobre recursos (Q8)
job_related_hoca09             ,Cargo de chefia ou coordenacao (Q9)
job_related_hoca10a            ,Quantos anos chefia ou coordenacao (Q10)
job_related_hoca11a            ,Ano em que se aposentou (Q11)
job_related_hoca12             ,Motivo da aposentadoria (Q12)
job_related_hoca13a            ,Ano comecou trabralhar instituicao (Q13)
job_related_hoca15a            ,Quantos anos essas atividades (Q15)
job_related_hoca16             ,Esta trabalhando (aposentado) (Q16)
job_related_hoca17             ,Onde trabalha (Q17)
job_related_hoca18             ,Trabalho remunerado (Q18)
job_related_hoca19a            ,Anos trabalhando pos-aposentadoria (Q19)
job_related_hoca29             ,Regime de plantao na instituicao (Q9)
job_related_hoca30a            ,Qtos anos regime de plantao (Q10)
job_related_hoca31             ,Turno mais freq regime de plantao (Q11)
job_related_hoca32             ,Esquema mais freq regime plantao (Q12)
job_related_hoca34             ,Tarefas com rapidez (Q14)
job_related_hoca35             ,Trabalhar intensamente (Q15)
job_related_hoca36             ,Trabalho exige demais (Q16)
job_related_hoca37             ,Tempo suficiente cumprir tarefas (Q17)
job_related_hoca38             ,Exigencias contraditorias (Q18)
job_related_hoca39             ,Aprender coisas novas no trabalho (Q19)
job_related_hoca40             ,Exige muita habilidade/con especial(Q20)
job_related_hoca41             ,Exige iniciativas (Q21)
job_related_hoca42             ,Repetir muitas x mesmas tarefas (Q22)
job_related_hoca43             ,Pode escolher como fazer (Q23)
job_related_hoca44             ,Pode escolher o que fazer (Q24)
job_related_hoca45             ,Ambiente calmo e agradavel (Q25)
job_related_hoca46             ,Pessoas se relacionam bem (Q26)
job_related_hoca47             ,Contar com apoio dos colegas (Q27)
job_related_hoca48             ,Se dia ruim colegas compreendem (Q28)
job_related_hoca49             ,Relaciona bem com seus chefes (Q29)
job_related_hoca50             ,Gosta trabalhar com seus colegas (Q30)
job_related_hoca51             ,Contatado fora do trabalho ult 12m (Q31)
job_related_hoca52             ,Impede tempo desejado com familia (Q32)
job_related_hoca53             ,Dificulta cumprir resp domesticas (Q33)
job_related_hoca54             ,Familia interfere resp profissional (Q34)
job_related_hoca55             ,Familia/trab impedem tempo proprio (Q35)
mentalvar_only_persistent      ,persistent MDD
negativelifeevents_evea02      ,Assalto 1x: quando (Q2)
negativelifeevents_evea03      ,Assalto +1x: quando ultima (Q3)
negativelifeevents_evea06      ,Hospitalizado 1x: quando (Q6)
negativelifeevents_evea08      ,Hospitalizado +1x: quando ultima (Q8)
negativelifeevents_evea10      ,Faleceu 1 parente: quando (Q10)
negativelifeevents_evea11      ,Faleceu +1 parente: quando ultimo (Q11)
negativelifeevents_evea13      ,Dificuldade financeira 1x: quando (Q13)
negativelifeevents_evea14      ,Dif financeira +1x: quando ultima (Q14)
negativelifeevents_evea16      ,Rompimento amor 1x: quando (Q16)
negativelifeevents_evea17      ,Rompimento amor +1x: quando (Q17)
others_cbaa2a                  ,Idade que fez cirurgia bariatrica (Q2)
others_claa3                   ,Dor comeca parado em pe/senatado (Q3)
others_claa4                   ,Dor ao subir ou andar rapido (Q4)
others_claa5                   ,Dor ao andar ritmo normal no plano (Q5)
others_claa6                   ,Dor ao parar de andar (Q6)
others_claa7a                  ,Onde dor: F1 (coxa) (Q7)
others_claa7b                  ,Onde dor: D1 (nadega) (Q7)
others_claa7c                  ,Onde dor: D2 (coxa) (Q7)
others_claa7d                  ,Onde dor: D3 (panturrilha) (Q7)
others_claa7e                  ,Onde dor: outra localizacao (Q7)
others_cssa10                  ,Vomitou ingestao sobrecarga
others_cssa11                  ,Outra intercorrencia na sobrecarga
others_cssa8                   ,Administracao incompleta da sobrecarga
others_cssa9                   ,Mal estar/nausea ingestao da sobrecarga
others_pcoa2                   ,Qual seu peso ao nascer (Q2)
others_pcoa3                   ,?
others_pcoa4                   ,Pode obter informacao peso ao nascer(Q4)
others_vifa28a                 ,Qtos doentes/deficientes cuida (Q2)
physical_activity_afia10a      ,Caminha p locomocao (minutos/dia) (Q10)
physical_activity_afia2a       ,Caminhada (minutos por dia) (Q2)
physical_activity_afia4a       ,Ativ fis fortes (minutos por dia) (Q4)
physical_activity_afia6a       ,Ativ fis medias (minutos por dia) (Q6)
physical_activity_afia8a       ,Pedala p locomocao (minutos/dia) (Q8)
religion_hvsa12                ,Frequencia atividade religiosa (Q12)
religion_hvsa14                ,Qual religiao (Q14)
smoking_hvsa02a                ,Idadecomecou fumar (Q2)
smoking_hvsa03                 ,Fuma atualmente (Q3)
smoking_hvsa04a                ,Idade parou fumar ultima vez (Q4)
smoking_hvsa05a                ,Cigarros por dia (Q5)
smoking_hvsa06a                ,Anos de fumo (Q6)
smoking_hvsa08                 ,Concive com fumantes em casa (Q8)
smoking_hvsa09                 ,Convive com fumantes no trabalho (Q9)
smoking_hvsa10                 ,Convive com fumantes no automovel (Q10)
social_support_capa12          ,Quem toca istrumento musical (Q12)
social_support_capa14          ,Quem le livros de literatura (Q14)
social_support_capa18          ,Quem le revistas profissionais (Q18)
social_support_capa2           ,Quem conserta carro/bicicleta (Q2)
social_support_capa20          ,Quem ativista de partido politico (Q20)
social_support_capa22          ,Quem tem + de R$2000 na poup/invest (Q22)
social_support_capa24          ,Quem Prefeitura/governo Estado (Q24)
social_support_capa28          ,Quem tem casa de campo/praia (Q28)
social_support_capa30          ,Quem contrata pessoas (Q30)
social_support_capa32          ,Quem conhece bastante leis (Q32)
social_support_capa34          ,Quem tem contatos com a midia (Q34)
social_support_capa36          ,Quem conhece assuntos financeiros (Q35)
social_support_capa38          ,Quem arranja emprego para familiar (Q38)
social_support_capa40          ,Quem aconselha conflitos trabalho (Q40)
social_support_capa48          ,Quem empresta R$ se precisar (Q48)
social_support_capa54          ,Quem  discute sobre eleicoes (Q54)
social_support_capa6           ,Quem conserta equip domesticos (Q6)
social_support_capa62          ,Quem facilita hospitalizacao/exame (Q62)
social_support_capa8           ,Quem fala lingua estrangeira (Q8)
socio_economic_hmpa54          ,Cobertura plano de saude privado (Q54)
socio_economic_psea02          ,Ultima serie (Q2)
socio_economic_psea03a         ,Idade terminou 2° grau (Q3)
socio_economic_psea07a         ,Quantas domestesticas mensalistas (Q6)
sociodem_vifa36a               ,number of twin brother/sister (Q10)
sociodem_vifa37                ,identical twins (Q11)
us_liverusg_abdwal_qual        ,Abd_wall_image_ quality
us_liverusg_liver_qual         ,Liver_image_quality
us_liverusg_wall_maxsubcut     ,Maximum  subcutaneous fat layer (cm)
us_liverusg_wall_minsubcut     ,Minimum subcutaneous fat layer (cm)
us_liverusg_wall_preperit      ,Preperitoneal fat (cm)
women_mula1                    ,Idade q menstruou pela primeira vez (Q1)
women_mula10a                  ,N total de gestacoes (Q10)
women_mula11                   ,Pre-eclampsia/eclampsia (Q11)
women_mula12                   ,Ganho de peso maior que 30kg (Q12)
women_mula13a                  ,Em qtas gestacacoes +30Kg (Q13)
women_mula14                   ,Tentou e nao conseguiu engravidar (Q14)
women_mula15                   ,Sindrome de ovarios policisticos (Q15)
women_mula16                   ,Usa contraceptivo atualmente (Q16)
women_mula17a                  ,Usa pilula (Q17)
women_mula17b                  ,Usa injecoes contraceptivas (Q17)
women_mula17c                  ,Usa implante hormonal (Q17)
women_mula17d                  ,Usa anel (hormonal intravaginal) (Q17)
women_mula17e                  ,Usa DIU com hormonio (Q17)
women_mula17f                  ,Usa DIU sem hormonio (Q17)
women_mula17g                  ,Usa DIU nao especificado (Q17)
women_mula17h                  ,Usa camisinha masculina (Q17)
women_mula17i                  ,Ligadura/laqueadura de trompas (Q17)
women_mula17j                  ,Vasectomia (Q17)
women_mula17l                  ,Outro contraceptivo (Q17)
women_mula18a                  ,Idade comecou contraceptivo atual (Q18)
women_mula19a                  ,Qtos anos usa contraceptivo atual (Q19)
women_mula2                    ,Ainda menstrua (Q2)
women_mula20                   ,Metodo hormonal atual (Q20)
women_mula20a                  ,Outro metodo hormonal atual (Q20)
women_mula21                   ,Ja usou anticoncepcional hormonal (Q21)
women_mula22a                  ,Ja usou pilula (Q21)
women_mula22b                  ,Ja usou injecoes contraceptivas (Q21)
women_mula22c                  ,Ja usou implante hormonal (Q21)
women_mula22d                  ,Ja usou anel (hormonal intravaginal) (Q21)
women_mula22e                  ,Ja usou DIU com hormonio (Q21)
women_mula22g                  ,?
women_mula23a                  ,Idade comecou 1o anticoncepcional (Q23)
women_mula24a                  ,Qtos anos usou 1o anticoncepcional (Q24)
women_mula25a                  ,Qtos anos parou ult concep hormonal(Q25)
women_mula26                   ,Hormonios menopausa osteoposore etc(Q26)
women_mula27a                  ,Idade comecou hormonios p menopausa(Q27)
women_mula28                   ,Usa hormonios menopausa osteoposore(Q28)
women_mula29a                  ,Qtos anos parou hormonios menopausa(Q29)
women_mula3                    ,Ha qto tempo parou de menstruar (Q3)
women_mula30                   ,Hormonio q usa atualmente (Q30)
women_mula30a                  ,Qual outro hormonio usa (30a)
women_mula31a                  ,Qtos anos usa/usou hormonio fem (Q31)
women_mula4a                   ,Idade parou menstruar definitivamente(Q4)
women_mula5a                   ,Menopausa natural (Q5)
women_mula5b                   ,Histerectomia (Q5)
women_mula5c                   ,Retirou 2 ovarios (Q5)
women_mula5d                   ,Parou de menstruar com outro tto (Q5)
women_mula5f                   ,Parou de menstruar por outra razao (Q5)
women_mula6                    ,Qto tempo menstruada (Q6)
women_mula7                    ,Ja engravidou (Q7)
women_mula8a                   ,Idade engravidou pela primeira vez (Q8)
women_mula9a                   ,Qtos nascidos-vivos (Q9)
women_mula9b                   ,Qtos nascidos-mortos (Q9)
women_mula9c                   ,Qtos abortos (Q9)
women_mula9d                   ,Outras (gravidez tubaria etc) (Q9)
